Publication Day,Publication Month,Publication Year,Authors,Title,Source,Abstract
7,9,2017,"Anina Bauer, Michela De Lucia, Vidhya Jagannathan, Giorgia Mezzalira, Margret L Casal, Monika M Welle, Tosso Leeb",A Large Deletion in the NSDHL Gene in Labrador Retrievers with a Congenital Cornification Disorder.,"G3 (Bethesda, Md.)","In heterozygous females affected by an X-linked skin disorder, lesions often appear in a characteristic pattern, the so-called Blaschko's lines. We investigated a female Labrador Retriever and her crossbred daughter, which both showed similar clinical lesions that followed Blaschko's lines. The two male littermates of the affected daughter had died at birth, suggesting a monogenic X-chromosomal semidominant mode of inheritance. Whole genome sequencing of the affected daughter, and subsequent automated variant filtering with respect to 188 nonaffected control dogs of different breeds, revealed 332 hetero-zygous variants on the X-chromosome private to the affected dog. None of these variants was protein-changing. By visual inspection of candidate genes located on the X-chromosome, we identified a large deletion in the NSDHL gene, encoding NAD(P) dependent steroid dehydrogenase-like, a 3β-hydroxysteroid dehydrogenase involved in cholesterol biosynthesis. The deletion spanned >14 kb, and included the last three exons of the NSDHL gene. By PCR and fragment length analysis, we confirmed the presence of the variant in both affected dogs, and its absence in 50 control Labrador Retrievers. Variants in the NSDHL gene cause CHILD syndrome in humans, and the bare patches (Bpa) and striated (Str) phenotypes in mice. Taken together, our genetic data and the known role of NSDHL in X-linked skin disorders strongly suggest that the identified structural variant in the NSDHL gene is causative for the phenotype in the two affected dogs."
9,9,2017,"Siping Niu, Cunliang Zhang","Endocrine Disrupting Compounds from the Source Water of the Huai River (Huainan City), China.",Archives of environmental contamination and toxicology,"The occurrence and environmental risk of eight endocrine disrupting compounds (EDCs), namely dimethyl phthalate (DMP), diethyl phthalate (DEP), benzyl butyl phthalate (BBP), dibutyl phthalate (DBP), nonyl phenol (NP), bisphenol A (BPA), 17α-ethinylestradiol (EE2) and estrone (E1), from four water sources (Pingshantou, Wanfenggang, Shisi, and Shiyi) of Huai River (Huainan section) were investigated in this study. Except for DMP only found in Pingshantou, all of the selected EDCs existed widely in the source water. DMP, DEP, BBP, DBP, NP, BPA, EE2, and E1 had the ranges of nd (cannot be detected)-130 ng/L, 25-310, 76-1351, 431-1299, 215-627, 23-107, nd-0.174, and 0.143-0.334 ng/L, respectively. Therefore, the studied water sources were associated with notable levels of EDCs, wherein the concentrations of BBP, DBP, and NP were much higher than the other five chemicals. The selected EDCs appeared to be higher in upstream than in downstream (p < 0.05) for each water source, suggesting that EDCs were subjected to a decreasing with water flow. Correlation analysis suggests that DEP-BP-DBP, NP-BPA, and EE2-E1 might have the same sources, respectively; and the source of NP, EE2, and E1 was different from that of BBP, BEP and BBP, and DEP, respectively. It was observed that both the TAS (total ambient severity) and RQ (risk quotient) were less than 1, indicating that EDCs in Huai River (Huainan section) posed little or no thread to the health of local inhabitants and ecological environmental."
29,9,2017,"Yanping Xian, Yuluan Wu, Hao Dong, Xindong Guo, Bin Wang, Li Wang",Dispersive micro solid phase extraction (DMSPE) using polymer anion exchange (PAX) as the sorbent followed by UPLC-MS/MS for the rapid determination of four bisphenols in commercial edible oils.,Journal of chromatography. A,"The present work presents a novel and rapid analytical method for the simultaneous analysis of bisphenol A (BPA), bisphenol B (BPB), bisphenol F (BPF) and bisphenol S (BPS) in edible oil based on dispersive micro solid phase extraction (DMSPE) for the first time followed by isotope dilution-ultra high performance liquid chromatography tandem mass spectrometry (UPLC-MS/MS). The edible oil sample was dispersed by n-hexane and extracted with ammoniated methanol-water solution. Then the target analytes were dispersedly absorbed using the polymer anion exchange (PAX) as the sorbent and eluted by acidic methanol. After that, four bisphenols were separated on a C18 column by gradient elution with methanol and 0.05% ammonium hydroxide in water as mobile phase, detected by MS/MS under multiple reactions monitoring (MRM) mode and quantified by internal standard method. The PAX amounts, adsorption time, concentrations of formic acid in the elution solvent and volume of elution solvent for the DMSPE technique were optimized. The limit of detection and quantitation (LOD and LOQ), matrix effect, recovery and precision of the developed method were investigated. Results indicated that BPS and the rest three bisphenols displayed excellent linearity in the concentration ranges of 0.1-50μg/L and 0.5-250μg/L, respectively, with correlation coefficients (R(2)) all larger than 0.998. Achieved MLODs (S/N=3) varied between 0.1-0.4μg/kg for all bisphenols. The mean recoveries at three spiked levels in edible oil were in the range of 87.3-108%. Intra-day precision (n=6) and inter-day precision (n=5) were <9% and <11%, respectively. This method is of rapid-and-simple pretreatment, accurate and sensitive, and suitable for the simultaneous determination of bisphenols in edible oil."
1,10,2017,"Mine Senyildiz, Ecem Fatma Karaman, Serap Sancar Bas, Pelin Arda Pirincci, Sibel Ozden",Effects of BPA on global DNA methylation and global histone 3 lysine modifications in SH-SY5Y cells: An epigenetic mechanism linking the regulation of chromatin modifiying genes.,Toxicology in vitro : an international journal published in association with BIBRA,"Bisphenol A (BPA), an estrogenic endocrine disruptor, is widely used in the production of polycarbonate plastic and epoxy resins, resulting in high risk on human health. In present study we aimed to investigate the effects of BPA on global and gene specific DNA methylation, global histone modifications and regulation of chromatin modifiying enzymes in human neuroblastoma cells (SH-SY5Y). Cells were treated with BPA at 0.1, 1 and 10μM concentrations for 48 and 96h. IC50 value of BPA was determined as 183 and 129μM in SH-SY5Y cells after 24h by MTT and NRU tests, respectively. We observed significant alterations on the 5-mC% levels (1.3 fold) and 5-hmC% levels (1.67 fold) after 10μM of BPA for 96h. Significant decrease was identified in H3K9me3 and H3K9ac after 10μM of BPA for 96h while decrease was observed in H3K4me3 at 10μM of BPA for 48h. Alterations were observed in chromatin modifiying genes including G9a, EZH2, SETD8, SETD1A, HAT1, SIRT1, DNMT1, RIZ1 and Suv39h1 after 96h of BPA exposure. Taken together, this study suggests that BPA might modulate the epigenetic regulators which would be key molecular events in the toxicity of endocrine disrupting chemicals."
1,10,2017,"Fei Zhao, Penghao Wei, Jun Wang, Miao Yu, Xiaona Zhang, Hua Tian, Wei Wang, Shaoguo Ru",Estrogenic effects associated with bisphenol a exposure in male zebrafish (Danio rerio) is associated with changes of endogenous 17β-estradiol and gene specific DNA methylation levels.,General and comparative endocrinology,"The binding affinity of bisphenol A (BPA) to estrogen receptors (ERs) is much lower than that of 17β-estradiol (E2), and whether there are other molecular mechanisms responsible for the estrogenic action of BPA in vivo currently remains unknown. The objective of this study was to explore the potential association between the estrogenic effect induced by bisphenol A in vivo and changes of endogenous E2 and gene specific DNA methylation levels. After a waterborne exposure of male zebrafish to 500, 1000, or 1500μg/L of BPA for 21d, vitellogenin (VTG) concentration in whole body homogenate, plasma E2 and testosterone levels, hepatic ERs mRNA expressions, gonadal cyp19a1a and cyp17a1 mRNA expressions, and methylation levels of hepatic esr1 and gonadal cyp19a1a's promoters were determined. Our results indicated that for the 500 and 1500μg/L treatment groups, VTG might be induced mainly by the elevated E2 levels; increases of E2 levels could be partly explained by the up-regulated expression of gonadal aromatase, mRNA levels of which were found to be negatively related to the methylation levels of both its promoter and one CpG site. In addition, upon BPA exposure, hepatic esr1 mRNA levels were also negatively related to the methylation levels of both its promoter and one CpG site. These observations provide evidence for the non-ERs mediated mechanisms underlying the estrogenic action of BPA on male zebrafish."
1,10,2017,"Shaina L Stacy, George D Papandonatos, Antonia M Calafat, Aimin Chen, Kimberly Yolton, Bruce P Lanphear, Joseph M Braun",Early life bisphenol A exposure and neurobehavior at 8years of age: Identifying windows of heightened vulnerability.,Environment international,"Early life BPA exposure could affect neurobehavior, but few studies have investigated whether there are developmental periods when the fetus or child is more vulnerable to these potential effects."
1,10,2017,"Lalith Perera, Yin Li, Laurel A Coons, Rene Houtman, Rinie van Beuningen, Bonnie Goodwin, Scott S Auerbach, Christina T Teng","Binding of bisphenol A, bisphenol AF, and bisphenol S on the androgen receptor: Coregulator recruitment and stimulation of potential interaction sites.",Toxicology in vitro : an international journal published in association with BIBRA,"Bisphenol A (BPA), bisphenol AF (BPAF), and bisphenol S (BPS) are well known endocrine disruptors. Previous in vitro studies showed that these compounds antagonize androgen receptor (AR) transcriptional activity; however, the mechanisms of action are unclear. In the present study, we investigated interactions of coregulator peptides with BPA, BPAF, or BPS at the AR complexes using Micro Array for Real-time Coregulator Nuclear Receptor Interaction (MARCoNI) assays and assessed the binding of these compounds on AR by molecular dynamics (MD) simulations. The set of coregulator peptides that are recruited by BPA-bound AR, either positively/or negatively, are different from those recruited by the agonist R1881-bound AR. Therefore, the data indicates that BPA shows no similarities to R1881 and suggests that it may recruit other coregulators to the AR complex. BPAF-bound AR recruits about 70-80% of the same coregulator peptides as BPA-bound AR. Meanwhile, BPS-bound AR interacts with only few peptides compared to BPA or BPAF-bound AR. MD results show that multiple binding sites with varying binding affinities are available on AR for BPA, BPAF, and BPS, indicating the availability of modified binding surfaces on AR for coregulator interactions. These findings help explain some of the distinct AR-related toxicities observed with bisphenol chemicals and raise concern for the use of substitutes for BPA in commercial products."
1,10,2017,"M A Martínez, J Rovira, R Prasad Sharma, M Nadal, M Schuhmacher, V Kumar",Prenatal exposure estimation of BPA and DEHP using integrated external and internal dosimetry: A case study.,Environmental research,"Prenatal exposure to Endocrine disruptors (EDs), such as Bisphenol A (BPA) and di (2-ethylhexyl) phthalate (DEHP), has been associated with obesity and diabetes diseases in childhood, as well as reproductive, behavioral and neurodevelopment problems. The aim of this study was to estimate the prenatal exposure to BPA and DEHP through food consumption for pregnant women living in Tarragona County (Spain). Probabilistic calculations of prenatal exposure were estimated by integrated external and internal dosimetry modelling, physiologically based pharmacokinetic (PBPK) model, using a Monte-Carlo simulation. Physical characteristic data from the cohort, along with food intake information from the questionnaires (concentrations of BPA and DEHP in different food categories and the range of the different food ratios), were used to estimate the value of the total dietary intake for the Tarragona pregnancy cohort. The major contributors to the total dietary intake of BPA were canned fruits and vegetables, followed by canned meat and meat products. In turn, milk and dairy products, followed by ready to eat food (including canned dinners), were the most important contributors to the total dietary intake of DEHP. Despite the dietary variations among the participants, the intakes of both chemicals were considerably lower than their respective current tolerable daily intake (TDI) values established by the European Food Safety Authority (EFSA). Internal dosimetry estimates suggest that the plasma concentrations of free BPA and the most important DEHP metabolite, mono (2-ethylhexyl) phthalate (MEHP), in pregnant women were characterized by transient peaks (associated with meals) and short half-lives (< 2h). In contrast, fetal exposure was characterized by a low and sustained basal BPA and MEHP concentration due to a lack of metabolic activity in the fetus. Therefore, EDs may have a greater effect on developing organs in young children or in the unborn child."
1,10,2017,"Xiao-Yu Shi, Zhe Wang, Liyu Liu, Li-Min Feng, Nan Li, Sijin Liu, Hui Gao",Low concentrations of bisphenol A promote human ovarian cancer cell proliferation and glycolysis-based metabolism through the estrogen receptor-α pathway.,Chemosphere,"Bisphenol A (BPA) is one of the most prevalent chemicals in many products used on a daily basis, making human exposure to it incredibly pervasive and raising concerns about its health consequences. One area of research focus has been the role of BPA exposure in promoting the development of ovarian cancer; however, the doses used in most of previous studies are relatively high and most likely exceed physiologically relevant levels. At the same time, few studies have described potential mechanisms underlying the link between BPA and increased cancer risk. To address these concerns we investigated the mechanism(s) by which low concentrations of BPA promote proliferation and energy metabolism in the human ovarian cancer cell line OVCAR-3. We found that even sub-toxic BPA concentrations not only drove increased OVCAR-3 cell proliferation but also promoted glycolysis-based metabolism, as evidenced by elevated cell viability, accelerated cell proliferation, increased levels of intracellular ATP, lactate, and pyruvic acid. Importantly, all of these effects were estrogen receptor α (ERα) dependent, as siRNA-mediated ERα silencing decreased BPA-induced proliferation, pinpointing the crucial role of ERα-conducted signaling in BPA-induced biological effects. Together, our findings revealed a new mechanism through which BPA promoted cell proliferation by reinforcing glycolysis-based energy production dependent on ER signaling. This study would thus open a new path to understand BPA-induced biological effects on tumor cells."
1,10,2017,"Heewon Song, Joonwoo Park, Phuong T C Bui, KeunOh Choi, Myung Chan Gye, Yun-Chul Hong, Jin Hee Kim, Young Joo Lee",Bisphenol A induces COX-2 through the mitogen-activated protein kinase pathway and is associated with levels of inflammation-related markers in elderly populations.,Environmental research,"Bisphenol A (BPA) is a well-known endocrine-disrupting chemical, and it is one of the highest volume chemicals produced worldwide. Even though several in vivo and in vitro studies showed positive associations of BPA exposure with pro-inflammatory cytokines such as tumor necrosis factor-α and interleukin (IL)-6, the mechanism by which BPA induces inflammation is unclear. We investigated the mechanism by which BPA induces inflammation (expression of inflammation-related genes, changes in oxidative stress, and cell proliferation and migration) and evaluated the effect of BPA exposure on inflammation-related markers in epidemiologic studies using repeat urine and serum samples from elderly subjects. BPA induced COX-2 expression via nuclear translocation of NF-κB and activation of mitogen-activated protein kinase (MAPK) by phosphorylation of ERK1/2 and enhanced the migration of lung cancer A549 and breast cancer MDAMB-231 cells. In two epidemiologic studies, we detected associations of BPA with six inflammation-related markers (WBC, CRP, IL-10, ALT, AST, and γ-GTP levels). Our findings probably suggest that BPA exposure induces inflammation and exacerbates tumorigenesis."
1,10,2017,"Hsin-Chieh Lan, Kai-Yu Wu, I-Wen Lin, Zhi-Jie Yang, Ai-An Chang, Meng-Chun Hu",Bisphenol A disrupts steroidogenesis and induces a sex hormone imbalance through c-Jun phosphorylation in Leydig cells.,Chemosphere,"Bisphenol A (BPA) is a well-known endocrine disrupting chemical (EDC) that is used to manufacture plastic consumer products. It is well known that exposure to BPA can induce defects in gonad development and negatively influences reproductive function in both males and females. In this study, we assessed the effects of BPA on hormone production in Leydig cells, which secrete hormones in the testes and support male fertility. We examined two steroidogenic enzymes, CYP11A1 and CYP19 that involved in sex hormone synthesis in mouse MA-10 Leydig cells. We found that BPA activated CYP gene in both mRNA and protein levels then resulted in alteration of the normal sex hormone ratio. Furthermore, we found that BPA induced c-Jun phosphorylation and contributed to CYP gene expression. Similar results were observed in an animal study. In conclusion, BPA disrupts the hormone environment in testis via steroidogenic gene activation through the JNK/c-Jun signaling pathway."
1,10,2017,"G Castro, I Rodríguez, M Ramil, R Cela",Evaluation of nitrate effects in the aqueous photodegradability of selected phenolic pollutants.,Chemosphere,"The effect of nitrate in the aqueous photodegradation of five phenolic environmental pollutants (ortho-phenylphenol, OPP; methyl paraben, MeP; propyl paraben, PrP; Triclosan, TCS and bisphenol A, BPA) is evaluated. Time-course of precursor compounds and formation of transformation products (TPs) were investigated by liquid chromatography quadrupole time-of-flight mass spectrometry (LC-QTOF-MS). Nitrate showed a positive effect in the removal of selected pollutants. Observed TPs resulted from hydroxylation, aromatic nitration (with or without molecule cleavage) and nitro dehalogenation processes. The above reactions involved the participation of *OH and *NO2 radicals arising from photolysis of nitrate. Nitro TPs were produced in a different extent depending on the structure of the precursor pollutant, nitrate concentration, light source (254 nm UV and solar light) and water matrix (ultrapure, surface and urban wastewater). Some of these nitro TPs were also observed during UV irradiation of untreated and unbuffered wastewater, either naturally polluted with parent phenolic compounds or spiked with these species at the sub μg L(-1) level. Nitration reactions were particularly favourable for OPP with the generated nitro TPs displaying a higher stability than the precursor molecule and the hydroxylated TPs of the same compound."
1,10,2017,"Sujin Kim, Sunmi Kim, Sungho Won, Kyungho Choi",Considering common sources of exposure in association studies - Urinary benzophenone-3 and DEHP metabolites are associated with altered thyroid hormone balance in the NHANES 2007-2008.,Environment international,"Epidemiological studies have shown that thyroid hormone balances can be disrupted by chemical exposure. However, many association studies have often failed to consider multiple chemicals with possible common sources of exposure, rendering their conclusions less reliable. In the 2007-2008 National Health and Nutrition Examination Survey (NHANES) from the U.S.A., urinary levels of environmental phenols, parabens, and phthalate metabolites as well as serum thyroid hormones were measured in a general U.S. population (≥12years old, n=1829). Employing these data, first, the chemicals or their metabolites associated with thyroid hormone measures were identified. Then, the chemicals/metabolites with possible common exposure sources were included in the analytical model to test the sensitivities of their association with thyroid hormone levels. Benzophenone-3 (BP-3), bisphenol A (BPA), and a metabolite of di(2-ethylhexyl) phthalate (DEHP) were identified as significant determinants of decreased serum thyroid hormones. However, significant positive correlations were detected (p-value<0.05, r=0.23 to 0.45) between these chemicals/metabolites, which suggests that they might share similar exposure sources. In the subsequent sensitivity analysis, which included the chemicals/metabolite with potentially similar exposure sources in the model, we found that urinary BP-3 and DEHP exposure were associated with decreased thyroid hormones among the general population but BPA exposure was not. In association studies, the presence of possible common exposure sources should be considered to circumvent possible false-positive conclusions."
1,10,2017,"Lap Ah Tse, Priscilla Ming Yi Lee, Wing Ming Ho, Augustine Tsan Lam, Man Kei Lee, Simon Siu Man Ng, Yonghua He, Ka-Sing Leung, Jennifer C Hartle, Howard Hu, Haidong Kan, Feng Wang, Chi Fai Ng",Bisphenol A and other environmental risk factors for prostate cancer in Hong Kong.,Environment international,"Environmental exposures are contributing factors to prostate cancer etiology, but these remain unclear. We aimed to document the associations between environmental risk factors and prostate cancer in Chinese, with special reference to bisphenol A (BPA)."
1,10,2017,"Guangying Luo, Ruifen Wei, Shaolin Wang, Jundong Wang",Paternal bisphenol a diet changes prefrontal cortex proteome and provokes behavioral dysfunction in male offspring.,Chemosphere,"Relatively little attention has been given paternal effects on next generation. Given that Bisphenol A (BPA), a ubiquitous compound in maternal diet, may disrupt brain development and behavior, we hypothesized that paternal BPA diet (PBD) could affect offspring development. Prefrontal cortex (PFC), a vital brain region, is involved in emotion and social behavior. To test whether PBD could alter developing PFC, we carried out a proteomics approach for PFC in male juvenile offspring that responded to PBD (50 mg BPA/kg diet). We found that PBD altered the expressions of binding immunoglobulin protein (BIP), CCAAT/-enhancer-binding protein homologous protein (CHOP) and B-cell lymphoma-2 (BCL-2), which could reflect endoplasmic reticulum (ER) stress. In addition, downregulation of myelinogenesis genes and myelin basic protein (MBP) could provoke myelin deficiency. Furthermore, PBD significantly increased anxiety-like behavior and impaired social behavior in male offspring. Taken together, these results revealed the alterations of ER stress and myelin destruction related molecules induced by PBD might be a potential mechanism for the behavior deficits in their male offspring. These findings remind us of the importance of paternal effects in the further environmental exposure research."
1,10,2017,"Zhengyu Yan, Yanhua Liu, Kun Yan, Shengmin Wu, Zhihua Han, Ruixin Guo, Meihong Chen, Qiulian Yang, Shenghu Zhang, Jianqiu Chen","Bisphenol analogues in surface water and sediment from the shallow Chinese freshwater lakes: Occurrence, distribution, source apportionment, and ecological and human health risk.",Chemosphere,"Compared to Bisphenol A (BPA), current knowledge on the spatial distribution, potential sources and environmental risk assessment of other bisphenol analogues (BPs) remains limited. The occurrence, distribution and sources of seven BPs were investigated in the surface water and sediment from Taihu Lake and Luoma Lake, which are the Chinese shallow freshwater lakes. Because there are many industries and living areas around Taihu Lake, the total concentrations of ∑BPs were much higher than that in Luoma Lake, which is away from the industry-intensive areas. For the two lakes, BPA was still the dominant BPs in both surface water and sediment, followed by BPF and BPS. The spatial distribution and principal component analysis showed that BPs in Luoma Lake was relatively homogeneous and the potential sources were relatively simple than that in Taihu Lake. The spatial distribution of BPs in sediment of Taihu Lake indicated that ∑BPs positively correlated with the TOC content. For both Taihu Lake and Luoma Lake, the risk assessment at the sampling sites showed that no high risk in surface water and sediment (RQt < 1.0, and EEQt < 1.0 ng E2/L)."
1,10,2017,"Imran Ali, Mehmood Jan, Abdul Wakeel, Azizullah Azizullah, Bohan Liu, Faisal Islam, Abid Ali, M K Daud, Yihua Liu, Yinbo Gan",Biochemical responses and ultrastructural changes in ethylene insensitive mutants of Arabidopsis thialiana subjected to bisphenol A exposure.,Ecotoxicology and environmental safety,"Bisphenol A (BPA), an important raw material in plastic industry, has become a serious environmental contaminant due to its wide spread use in different products and increasing release into the environment. BPA is known to cause adverse effects in living organisms including plants. Several studies reported that BPA affects growth and development in plants, mainly through oxidative stress. Plants are known to generally cope with stress mainly through hormonal regulation and adaptation, but little is known about the role of plant hormones in plants under BPA stress. The present study was conducted to investigate the role of ethylene in BPA induced oxidative stress in plants using Arabidopsis thaliana as a test plant. The response of ethylene insensitive mutants of Arabidopsis (ein2-1 and etr1-3) to BPA exposure was studied in comparison to the wild type Arabidopsis (WT). In all three genotypes, exposure to BPA adversely affected cellular structures, stomata and light-harvesting pigments. An increase in reactive oxygen species (ROS) lipid peroxidation and other oxidative stress markers indicated that BPA induced toxicity through oxidative stress. However, the overall results revealed that WT Arabidopsis had more pronounced BPA induced damages while ein2-1 and etr1-3 mutants withstood the BPA induced stress more efficiently. The activity of antioxidant enzymes and expression of antioxidants related genes revealed that the antioxidant defense system in both mutants was more efficiently activated than in WT against BPA induced oxidative stress, which further evidenced the involvement of ethylene in regulating BPA induced oxidative stress. It is concluded that ethylene perception and signaling may be involved in BPA induced oxidative stress responses in plants."
1,10,2017,"Wei Wu, Guoqiang Shan, Qian Xiang, Yinqing Zhang, Shujun Yi, Lingyan Zhu",Effects of humic acids with different polarities on the photocatalytic activity of nano-TiO2 at environment relevant concentration.,Water research,"Large volume production and application of nano-TiO2 make it inevitably release to natural waters and its environmental behaviors would be affected by natural organic matters. In this study, the mechanisms of humic acid (HA) affecting the photocatalytic performance of nano-TiO2 were elucidated by using three HA fractions from the same source but with different polarities. Bulk HA was fractionated on a silica gel column to get three fractions with polarity increasing in the order of FA, FB and FC. FA was fulvic acid-like while FB and FC were humic acid-like. All the three fractions (at 0.1 mg/L) promoted the generation of hydroxyl radicals (OHs) by nano-TiO2, and thus in turn facilitated the photocatalytic degradation of bispheol A (BPA). FA and FC displayed a stronger promotion effect than FB and the bulk HA. Online in situ flow cell ATR-FTIR and XPS analyses indicated that HA fractions could form charge-transfer complex with nano-TiO2 surface through the phenolic hydroxyl and carboxylic groups, which favored the separation of photogenerated electron-hole pairs. Through step methylation experiments, it was verified that the phenolic hydroxyl and carboxylic groups of HA fractions played important roles in promoting the photocatalytic performance of nano-TiO2, and the effect of carboxylic group was more significant than the phenolic hydroxyl group."
1,10,2017,"Ming Chen, Guangming Zeng, Cui Lai, Chang Zhang, Piao Xu, Min Yan, Weiping Xiong",Interactions of carbon nanotubes and/or graphene with manganese peroxidase during biodegradation of endocrine disruptors and triclosan.,Chemosphere,"Molecular-level biodegradation processes of bisphenol A (BPA), nonylphenol (NP) and triclosan (TCS) mediated by manganese peroxidase (MnP) were investigated with and without single-walled carbon nanotube (SWCNT) and/or graphene (GRA). Although the incorporation of SWCNT, GRA or their combination (SWCNT+GRA) did not break up the complexes composed of manganese peroxidase (MnP) and these substrates, they had different effects on the native contacts between the substrates and MnP. GRA tended to decrease the overall stability of the binding between MnP and its substrates. SWCNT or SWCNT+GRA generally had a minor impact on the mean binding energy between MnP and its substrates. We detected some sensitive residues from MnP that were dramatically disturbed by the GRA, SWCNT or SWCNT+GRA. Nanomaterials changed the number and behavior of water molecules adjacent to both MnP and its substrates, which was not due to the destruction of H-bond network formed by sensitive regions and water molecules. The present results are useful for understanding the molecular basis of pollutant biodegradation affected by the nanomaterials in the environment, and are also helpful in assessing the risks of these materials to the environment."
1,10,2017,"Jukun Xiong, Taicheng An, Guiying Li, Ping'an Peng",Accelerated biodegradation of BPA in water-sediment microcosms with Bacillus sp. GZB and the associated bacterial community structure.,Chemosphere,"Bisphenol A (BPA) is a synthetic chemical primarily used to produce polycarbonate plastics and epoxy resins. Significant industrial and consumer's consumption of BPA-containing products has contributed to extensive contamination in different environmental matrices. In this study, microcosms bioaugmented with Bacillus sp. GZB were constructed to investigate BPA biodegradation, identify the main bacterial community, and evaluate bacterial community responses in the microcosms. Under aerobic conditions, BPA was quickly depleted as a result of bioaugmentation with Bacillus sp. GZB in water-sediment contaminated with pollutants. The pollutants used were generally associated with the electronic wastes (mobile phones, computers, televisions) dismantling process. Adding BPA affected the bacterial community composition in the water-sediment. Furthermore, BPA biodegradation was enhanced by adding electron donors/co-substrates: humic acid, NaCl, glucose, and yeast extract. Metagenomic analysis of the total 16S rRNA genes from the BPA-degrading microcosms with bioaugmentation illustrated that the genera Bacillus, Thiobacillus, Phenylobacterium, and Cloacibacterium were dominant after a 7-week incubation period. A consortium of microorganisms from different bacterial genera may be involved in BPA biodegradation in electronic waste contaminated water-sediment. This study provides new insights about BPA bioaugmentation and bacterial ecology in the BPA-degrading environment."
1,10,2017,"Yuanxiu Zhou, Zhouyu Wang, Minghan Xia, Siyi Zhuang, Xiaobing Gong, Jianwen Pan, Chuhua Li, Ruifang Fan, Qihua Pang, Shaoyou Lu",Neurotoxicity of low bisphenol A (BPA) exposure for young male mice: Implications for children exposed to environmental levels of BPA.,"Environmental pollution (Barking, Essex : 1987)","To investigate the neuron toxicities of low-dose exposure to bisphenol A (BPA) in children, mice were used as an animal model. We examined brain cell damage and the effects of learning and memory ability after BPA exposure in male mice (4 weeks of age) that were divided into four groups and chronically received different BPA treatments for 8 weeks. The comet assay and hippocampal neuron counting were used to detect the brain cell damage. The Y-maze test was applied to test alterations in learning and memory ability. Long term potentiation induction by BPA exposure was performed to study the potential mechanism of performance. The percentages of tail DNA, tail length and tail moment in brain cells increased with increasing BPA exposure concentrations. Significant differences in DNA damage were observed among the groups, including between the low-dose and control groups. In the Y-maze test, the other three groups qualified for the learned standard one day earlier than the high-exposed group. Furthermore, the ratio of qualified mice in the high-exposed group was always the lowest among the groups, indicating that high BPA treatment significantly altered the spatial memory performance of mice. Different BPA treatments exerted different effects on the neuron numbers of different regions in the hippocampus. In the CA1 region, the high-exposed group had a significant decrease in neuron numbers. A non-monotonic relationship was observed between the exposure concentrations and neuron quantity in the CA3 region. The hippocampal slices in the control and medium-exposed groups generated long-term potentiation after induction by theta burst stimulation, but the low-exposed group did not. A significant difference was observed between the control and low-exposed groups. In conclusion, chronic exposure to a low level of BPA had adverse effects on brain cells and altered the learning and memory ability of adolescent mice."
1,10,2017,"Evan D Borman, Nicholas Vecchi, Tyler Pollock, Denys deCatanzaro",Diethylhexyl phthalate magnifies deposition of (14) C-bisphenol A in reproductive tissues of mice.,Journal of applied toxicology : JAT,"Endocrine disrupting chemicals are found in diverse common products, including cosmetics, food packaging, thermal receipt paper and plastic containers. This exposes most people in developed countries through ingestion, skin absorption and inhalation. Two ubiquitous endocrine disrupting chemicals, bisphenol A (BPA) and diethylhexyl phthalate (DEHP) can interact in disrupting blastocyst implantation in inseminated females. We hypothesized that DEHP might increase the bioavailability of BPA in tissues by competing for metabolic enzymes. We injected 0, 3, 9 or 18 mg DEHP into female and male mice and allowed 30 min for the chemical to circulate before giving them a food supplement containing 50 μg kg(-1 14) C-BPA. Animals were dissected 1 h following (14) C-BPA administration and various tissue samples were acquired. Samples were solubilized and radioactivity was measured via liquid scintillation counting. In cycling females, DEHP increased BPA deposition in the muscle, uterus, ovaries and blood serum relative to controls. In peri-implantation females, DEHP increased deposition of BPA in the uterus, ovaries and serum relative to controls. In males, DEHP doses increased BPA deposition in serum and epididymis relative to controls. These results are consistent with the hypothesis that DEHP competes with BPA for conjugating enzymes such as UDP-glucuronosyltransferase, thereby magnifying the presence of BPA in estrogen-binding reproductive tissues. Copyright © 2017 John Wiley & Sons, Ltd."
5,10,2017,"Rui Wang, Sai Wang, Yiping Tai, Ran Tao, Yunv Dai, Jingjing Guo, Yang Yang, Shunshan Duan",Biogenic manganese oxides generated by green algae Desmodesmus sp. WR1 to improve bisphenol A removal.,Journal of hazardous materials,"Biogenic manganese oxides (BioMnOx) have attracted considerable attention as active oxidants, adsorbents, and catalysts. This study investigated the characteristics of algae-generated BioMnOx and determined its oxidative activity towards bisphenol A (BPA), an endocrine disrupter. Amorphous nanoparticles with a primary Mn valency of +3 were found in BioMnOx produced by Desmodesmus sp. WR1. The mechanism might be that algal growth created conditions favorable to Mn oxidation through increasing DO and pH. Initial Mn(2+) concentrations of 6, 30, and 50mgL(-1) produced a maximum of 5, 13, and 11mgL(-1) of BioMnOx, respectively. Mn(2+)-enriched cultures exhibited the highest BPA removal efficiency (∼78%), while controls only reached about 27%. BioMnOx may significantly promote BPA oxidation in algae culture, enhancing the accumulation of substrates for glycosylation. Moreover, continuous BioMnOx increase and Mn(2+) decrease during BPA oxidation confirmed Mn oxide regeneration. In conclusion, Mn oxide formation by microalgae has the potential to be used for environmental remediation."
